X.Item;Label;Bx;By;Width;Height;Area;Mean;Major;Minor;Feret;Area_exc;ThickR;Pred;pred_valid_Id_20170806_1703;Valid;esd;Major.micron;Minor.micron;Major.mm;Minor.mm;Area_ellipse_mm2;biovol.mm;g_carbon
93;abr1_noronha_st01_300_d1_d1_1;7002;8136;402;426;23671;184.0500031;577.9000244;52.20000076;548.5999756;23639;1.827000022;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1840.68443376734;6125.74025864;553.320008056;6.12574025864;0.553320008056;2.66210287237401;0.981498691471855;0.0000586129721117648
94;abr1_noronha_st01_300_d1_d1_1;6521;8213;487;1116;73324;187.6199951;558.2000122;167.3000031;1116.400024;73240;3.834000111;02_Chaetognatha;02_chaetognatha;02_chaetognatha;3239.62029700856;5916.92012932;1773.38003286;5.91692012932;1.77338003286;8.24114209832059;9.73817855119894;0.000224906082245033
95;abr1_noronha_st01_300_d1_d1_1;8194;8259;260;887;86537;129.8699951;739.9000244;148.8999939;903.5999756;86126;3.032000065;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3519.42694379907;7842.94025864;1578.33993534;7.84294025864;1.57833993534;9.7223070645926;10.2248841261055;0.000273792595153128
96;abr1_noronha_st01_300_d1_d1_1;11320;8302;489;637;85787;179.6900024;400.2999878;272.8999939;718.0999756;85526;6.011000156;15_Multiples;02_chaetognatha;02_chaetognatha;3504.14264753413;4243.17987068;2892.73993534;4.24317987068;2.89273993534;9.64030367694868;18.5818359797436;0.00027104671112152
97;abr1_noronha_st01_300_d1_d1_1;14269;8374;152;702;67899;105.6200027;701.7999878;123.1999969;703.9000244;67698;2.196000099;13_Fish_larvae;13_fish_larvae;13_fish_larvae;3117.47318061393;7439.07987068;1305.91996714;7.43907987068;1.30591996714;7.63001980298293;6.63942919204165;0.000205202067845021
98;abr1_noronha_st01_300_d1_d1_1;4046;8503;504;524;22996;193.9400024;187.1000061;156.5;658;22986;9.347999573;03_Copepod;03_copepod;03_copepod;1814.250230285;1983.26006466;1658.9;1.98326006466;1.6589;2.5839836147634;2.85626487334002;0.0000565719306572759
99;abr1_noronha_st01_300_d1_d1_1;1076;8562;665;620;79675;143.9499969;820.7000122;123.5999985;882.4000244;79444;3.398999929;13_Fish_larvae;13_fish_larvae;13_fish_larvae;3377.00787171204;8699.42012932;1310.1599841;8.69942012932;1.3101599841;8.95167934850771;7.8147909398448;0.000248166163564878
100;abr1_noronha_st01_300_d1_d1_1;13560;8750;287;270;12429;190.5599976;170.6999969;92.69999695;325.6000061;12368;7.048999786;15_Multiples;03_copepod;03_copepod;1333.79514083198;1809.41996714;982.61996767;1.80941996714;0.98261996767;1.39641609229344;0.914300477165382;0.0000271984313367602
102;abr1_noronha_st01_300_d1_d1_1;10651;8845;301;600;44859;136.4199982;548.5999756;104.0999985;638.4000244;44800;2.729000092;12_Euphausiacea;12_euphausiacea;12_euphausiacea;2533.93710427225;5815.15974136;1103.4599841;5.81515974136;1.1034599841;5.0397398527822;3.70555466075442;0.000125268493088013
106;abr1_noronha_st01_300_d1_d1_1;9216;9075;399;720;65798;113.4800034;648;129.3000031;799.2000122;65737;2.687000036;13_Fish_larvae;13_fish_larvae;13_fish_larvae;3068.86216803059;6868.8;1370.58003286;6.8688;1.37058003286;7.39392690765582;6.75255406257841;0.000197668571406325
109;abr1_noronha_st01_300_d1_d1_1;1817;9207;933;271;87851;160.4299927;742.2999878;150.6999969;933;86735;2.444999933;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3546.04621666168;7868.37987068;1597.41996714;7.86837987068;1.59741996714;9.87175364324793;10.5075613326066;0.000278808120481493
111;abr1_noronha_st01_300_d1_d1_1;4791;9264;647;242;37167;175.6999969;713.0999756;66.40000153;674.5;37149;2.072000027;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2306.4805184882;7558.85974136;703.840016218;7.55885974136;0.703840016218;4.17849727095543;1.95966841902945;0.000100228247697009
112;abr1_noronha_st01_300_d1_d1_1;760;9276;269;761;71477;229.2100067;585.9000244;155.3000031;772.5;59661;3.253999949;08_Cnid_sipho;08_cnid_sipho;08_cnid_sipho;3198.55774026895;6210.54025864;1646.18003286;6.21054025864;1.64618003286;8.02964957326463;8.80769847303583;0.000218054541514224
118;abr1_noronha_st01_300_d1_d1_1;12615;9635;644;116;32696;185.3500061;646.5;64.40000153;649.7999878;32678;2.802999973;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2163.30796474253;6852.9;682.640016218;6.8529;0.682640016218;3.67414269096816;1.67123021187171;0.0000860026540378632
120;abr1_noronha_st01_300_d1_d1_1;7167;9643;661;138;34454;177.9299927;705;62.20000076;665;34424;2.148000002;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2220.70495492204;7473;659.320008056;7.473;0.659320008056;3.8697340501055;1.70006642501932;0.0000914780130363175
121;abr1_noronha_st01_300_d1_d1_1;2818;9645;167;492;19921;185.3000031;531.2999878;47.70000076;507.7000122;19914;2.230000019;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1688.5992989329;5631.77987068;505.620008056;5.63177987068;0.505620008056;2.23645314454566;0.753481461237727;0.0000476378725209998
122;abr1_noronha_st01_300_d1_d1_1;11653;9674;488;704;81597;197.1699982;606.7999878;171.1999969;804.4000244;80712;2.280999899;02_Chaetognatha;02_chaetognatha;02_chaetognatha;3417.49692734429;6432.07987068;1814.71996714;6.43207987068;1.81471996714;9.16750019258172;11.0853411195275;0.000255302340019878
126;abr1_noronha_st01_300_d1_d1_1;7589;9904;559;655;67031;140.5899963;702.7000122;121.5;833.5;66827;2.394999981;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3097.48267629317;7448.62012932;1287.9;7.44862012932;1.2879;7.53438573614725;6.46574407378539;0.000202145060661703
128;abr1_noronha_st01_300_d1_d1_1;4071;9987;191;222;17580;146.5599976;250.1000061;89.5;260.2000122;17508;1.812999964;03_Copepod;03_copepod;03_copepod;1586.28227783335;2651.06006466;948.7;2.65106006466;0.9487;1.97532404153068;1.24869325678376;0.0000410947012292199
130;abr1_noronha_st01_300_d1_d1_1;4721;10038;623;557;71275;151.6499939;664.7000122;136.5;798.2000122;70776;3.092000008;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3194.03484619785;7045.82012932;1446.9;7.04582012932;1.4469;8.00681787434871;7.71946109884824;0.000217316915348338
135;abr1_noronha_st01_300_d1_d1_1;13018;10508;494;652;82016;137.7700043;432.6000061;241.3999939;652.5999756;81815;4.434000015;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3426.2601029393;4585.56006466;2558.83993534;4.58556006466;2.55883993534;9.2156375977098;15.7129245196408;0.000256898402119915
136;abr1_noronha_st01_300_d1_d1_1;6149;10522;224;150;17740;158.4900055;203.5;111;242.6999969;17622;3.056999922;03_Copepod;03_copepod;03_copepod;1593.48450455034;2157.1;1176.6;2.1571;1.1766;1.99337498626617;1.56281065897044;0.0000415419717869945
138;abr1_noronha_st01_300_d1_d1_1;11490;10596;537;609;69833;129.8200073;621.4000244;143.1000061;779.9000244;69307;2.538000107;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3161.55969732428;6586.84025864;1516.86006466;6.58684025864;1.51686006466;7.84716040429296;7.93133993473178;0.000212170061498845
141;abr1_noronha_st01_300_d1_d1_1;10145;10931;436;564;43566;162.6900024;700.5999756;79.19999695;683.7000122;43501;1.911999941;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2497.15143701039;7426.35974136;839.51996767;7.42635974136;0.83951996767;4.89662555310371;2.7391539453715;0.000121046851032537
144;abr1_noronha_st01_300_d1_d1_1;1100;11132;91;701;24223;199.0700073;684.7000122;45;701.7999878;24197;2.555999994;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1862.0228299106;7257.82012932;477;7.25782012932;0.477;2.71903289212223;0.864214117746786;0.0000601076017554841
146;abr1_noronha_st01_300_d1_d1_1;4768;11299;600;560;43446;164.9700012;257.6000061;214.6999969;618;42865;3.167999983;03_Copepod;03_copepod;03_copepod;2493.70993670227;2730.56006466;2275.81996714;2.73056006466;2.27581996714;4.88067083866838;7.40126473618615;0.000120577651006345
147;abr1_noronha_st01_300_d1_d1_1;5963;11358;467;490;36240;166.6000061;301.2000122;153.1999969;491.7000122;35749;3.40199995;15_Multiples;03_copepod;03_copepod;2277.53537591297;3192.72012932;1623.91996714;3.19272012932;1.62391996714;4.07207111099505;4.40624347917215;0.0000971978060398115
150;abr1_noronha_st01_300_d1_d1_1;8112;11510;382;302;30635;163.3500061;255.6999969;152.6000061;400.3999939;29738;3.917999983;03_Copepod;03_copepod;03_copepod;2094.01592046461;2710.41996714;1617.56006466;2.71041996714;1.61756006466;3.44339532606543;3.71138337665252;0.0000796142091353007
157;abr1_noronha_st01_300_d1_d1_1;10757;11825;255;757;66865;127.7300034;718.2999878;118.5;780.2000122;66805;2.040999889;13_Fish_larvae;13_fish_larvae;13_fish_larvae;3093.6448933442;7613.97987068;1256.1;7.61397987068;1.2561;7.51148529364164;6.28692896324516;0.000201414122568878
158;abr1_noronha_st01_300_d1_d1_1;11653;11903;497;364;54786;195.1499939;350;199.3000031;500;52318;5.607999802;15_Multiples;03_copepod;03_copepod;2800.30820869673;3710;2112.58003286;3.71;2.11258003286;6.15569313278033;8.66520115131573;0.000158933620174868
163;abr1_noronha_st01_300_d1_d1_1;1127;12456;735;896;173528;143.6199951;1019.099976;216.8000031;1123.199951;173275;2.493999958;13_Fish_larvae;13_fish_larvae;13_fish_larvae;4983.74505282848;10802.4597456;2298.08003286;10.8024597456;2.29808003286;19.4974442553156;29.8559815026628;0.000626685489959783
164;abr1_noronha_st01_300_d1_d1_1;11507;12534;335;313;66052;105.25;337.7000122;249;397.7999878;65958;2.730999947;04_Decapoda_mega;04_decapoda_mega;04_decapoda_mega;3074.77982640899;3579.62012932;2639.4;3.57962012932;2.6394;7.42048062235801;13.0504583211605;0.0001985136220118
165;abr1_noronha_st01_300_d1_d1_1;5379;12587;898;555;136879;128.5;942.0999756;185;1037.300049;136690;2.299000025;13_Fish_larvae;13_fish_larvae;13_fish_larvae;4426.28576303552;9986.25974136;1961;9.98625974136;1.961;15.3804957078052;20.0972411095205;0.000472575157211077
168;abr1_noronha_st01_300_d1_d1_1;12425;12810;709;349;66346;129.0800018;629.5;134.1999969;781.0999756;66184;2.497999907;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3081.61521052394;6672.7;1422.51996714;6.6727;1.42251996714;7.45503783948954;7.06637595315829;0.000199614238099053
171;abr1_noronha_st01_300_d1_d1_1;13509;12985;350;688;66433;128.4600067;664.9000244;127.1999969;748.7000122;66052;2.157000065;12_Euphausiacea;12_euphausiacea;12_euphausiacea;3083.63502098986;7047.94025864;1348.31996714;7.04794025864;1.34831996714;7.46354338209845;6.7054286210463;0.000199885280792191
179;abr1_noronha_st01_300_d1_d1_1;4112;13593;921;463;81725;201.3800049;516.2999878;201.5;937.9000244;71294;5.114999771;04_Decapoda_outros;04_decapoda_outros;04_decapoda_outros;3420.17636525176;5472.77987068;2135.9;5.47277987068;2.1359;9.18076301833432;13.0661671375598;0.000255741928754693
180;abr1_noronha_st01_300_d1_d1_1;11035;13630;757;377;49313;222.3300018;709.7999878;88.5;809.5999756;45657;3.142999887;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2656.75648232378;7523.87987068;938.1;7.52387987068;0.9381;5.54345938741089;3.46512194072818;0.000140305736188019
183;abr1_noronha_st01_300_d1_d1_1;8549;13856;251;315;31099;145.6799927;280.2999878;141.3000031;362.6000061;30739;3.128999949;04_Decapoda_outros;04_decapoda_outros;04_decapoda_outros;2109.81438492904;2971.17987068;1497.78003286;2.97117987068;1.49778003286;3.49515839555997;3.48821636371658;0.0000810404338459665
185;abr1_noronha_st01_300_d1_d1_1;12986;14058;350;393;31914;166.25;258.8999939;157;394.1000061;31519;2.911999941;03_Copepod;03_copepod;03_copepod;2137.28115876044;2744.33993534;1664.2;2.74433993534;1.6642;3.58701592271296;3.97765707363309;0.0000835812426504172
188;abr1_noronha_st01_300_d1_d1_1;22379;310;759;166;32320;198.7200012;790.5999756;52.09999847;766.5999756;32298;2.344000101;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2150.83310773403;8380.35974136;552.259983782;8.38035974136;0.552259983782;3.63493056274298;1.33760600923078;0.000084911511751397
189;abr1_noronha_st01_300_d1_d1_1;18448;358;860;301;163069;191.1600037;748.0999756;277.5;860.2999878;136761;2.47300005;08_Cnid_sipho;08_cnid_sipho;08_cnid_sipho;4831.21918122849;7929.85974136;2941.5;7.92985974136;2.9415;18.319948139894;35.9072056462901;0.00058191028995616
190;abr1_noronha_st01_300_d1_d1_1;16567;491;397;360;37755;174.6600037;283.2000122;169.6999969;460.3999939;36329;3.530999899;15_Multiples;03_copepod;03_copepod;2324.65374450629;3001.92012932;1798.81996714;3.00192012932;1.79881996714;4.2410824347303;5.08338414434252;0.000102017219146094
191;abr1_noronha_st01_300_d1_d1_1;17242;567;394;463;54858;164.9499969;395.5;176.6000061;553.9000244;54416;2.638999939;15_Multiples;03_copepod;03_copepod;2802.14769315743;4192.3;1871.96006466;4.1923;1.87196006466;6.16366198452192;7.68818649824168;0.000159178489796993
192;abr1_noronha_st01_300_d1_d1_1;21563;581;393;460;19165;192.5500031;376.6000061;64.80000305;594.5999756;19151;1.837000012;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1656.24831210105;3991.96006466;686.88003233;3.99196006466;0.68688003233;2.15355992484829;0.985658267019078;0.0000455441891936468
193;abr1_noronha_st01_300_d1_d1_1;20201;614;780;489;75740;187.0299988;464.8999939;207.3999939;803;68993;3.269000053;04_Decapoda_outros;04_decapoda_outros;04_decapoda_outros;3292.55992018755;4927.93993534;2198.43993534;4.92793993534;2.19843993534;8.50883087758771;12.4644469211117;0.00023362610175313
194;abr1_noronha_st01_300_d1_d1_1;23729;620;297;416;17001;187.0299988;495.2999878;43.70000076;485.6000061;16998;2.536999941;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1559.94135117583;5250.17987068;463.220008056;5.25017987068;0.463220008056;1.91007919291236;0.589558899918438;0.0000394845621212814
195;abr1_noronha_st01_300_d1_d1_1;15598;757;600;216;28982;193.2100067;600.5999756;61.40000153;613.5;28853;3.757999897;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2036.73821912597;6366.35974136;650.840016218;6.36635974136;0.650840016218;3.25428289943525;1.41129586027993;0.0000744385668656867
196;abr1_noronha_st01_300_d1_d1_1;23186;824;509;742;77773;190.6399994;591.5999756;167.3999939;846;76116;4.500999928;02_Chaetognatha;02_chaetognatha;02_chaetognatha;3336.4564672661;6270.95974136;1774.43993534;6.27095974136;1.77443993534;8.73947203728511;10.3332043132414;0.000241181269044243
197;abr1_noronha_st01_300_d1_d1_1;22477;944;124;520;22080;174.8200073;531.2999878;52.90000153;524.2999878;22064;1.863999963;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1777.74952560707;5631.77987068;560.740016218;5.63177987068;0.560740016218;2.48025938958578;0.926717082534811;0.0000538800193833266
199;abr1_noronha_st01_300_d1_d1_1;18994;1122;348;604;34240;160.1900024;666.5;65.40000153;657;34182;2.377000093;02_Chaetognatha;02_chaetognatha;02_chaetognatha;2213.79761329067;7064.9;693.240016218;7.0649;0.693240016218;3.84662211508462;1.77685367231637;0.0000908282245797216
200;abr1_noronha_st01_300_d1_d1_1;19924;1129;662;475;77367;136.1100006;605.0999756;162.8000031;764;77270;2.20600009;13_Fish_larvae;12_euphausiacea;12_euphausiacea;3327.73638562752;6414.05974136;1725.68003286;6.41405974136;1.72568003286;8.69326975509422;9.9961311748884;0.000239664741557393
203;abr1_noronha_st01_300_d1_d1_1;20912;1555;644;384;25272;195.6999969;694.2999878;46.29999924;723.5;25267;1.972000003;02_Chaetognatha;02_chaetognatha;02_chaetognatha;1901.91386009204;7359.57987068;490.779991944;7.35957987068;0.490779991944;2.83680676160184;0.927694792802274;0.0000632184142523655
210;abr1_noronha_st01_300_d1_d1_1;23936;1967;156;540;33690;161.25;481.5;89.09999847;544.9000244;33668;2.928999901;12_Euphausiacea;12_euphausiacea;12_euphausiacea;2195.94542412431;5103.9;944.459983782;5.1039;0.944459983782;3.7859563278233;2.38258102162994;0.0000891261517849245
